,ax,ay,az,gx,gy,gz,time
-56,312,18496,370,-678,1032
280,-160,16096,24,241,195
-224,48,16592,-206,-124,-208
48,-16,16696,56,79,-26
352,-232,16528,130,-54,-40
-328,152,17248,-95,453,34
-1392,1080,16456,79,514,-1994
-80,1376,16864,-111,79,-2182
-216,272,16288,249,447,-1834
-448,1816,16568,-303,-79,539
600,-600,16536,-278,482,1128
728,664,16784,135,401,1216
2136,-1048,16072,208,393,659
-128,-64,17112,163,215,385
-232,-2208,16720,72,628,1421
456,480,15576,1434,1799,1833
-2560,1024,27752,780,1916,1569
488,-1216,17744,750,-302,1339
-1240,-736,18032,-86,44,866
-280,-64,17864,1413,1599,301
-840,416,16976,1768,1460,57
-232,-464,16008,3478,-424,-786
-672,2296,16328,8612,-2503,111
368,328,15904,7395,-485,-139
-456,976,17256,7759,704,-576
632,1408,16888,8225,699,-364
-544,2352,15384,7786,-163,-31
-464,2392,16792,6025,-225,-211
-224,3160,15976,6877,-281,-18
608,2832,15960,3987,413,-91
-168,4040,15592,4138,-637,-405
-552,4112,15920,4758,-416,-1351
-368,4040,16952,4214,-756,-1197
-496,4288,15152,5466,-955,-2002
-56,5400,15400,6220,-308,-2019
216,7360,15048,6267,-255,-1937
-24,6640,14456,6181,-396,-1156
-336,5608,14776,5613,-601,-593
-256,7480,16512,3859,350,-1464
-392,7208,16088,4195,-112,-1010
-424,7504,14872,3876,314,-726
160,8512,13984,2745,1160,-1140
-320,8312,14936,2239,1524,-1045
-456,8192,15488,2777,1061,-1016
-248,8144,16184,2627,1870,-1017
-1592,7352,13240,2458,1965,-1166
-1696,7472,14392,2186,1938,-1634
-1696,7824,15104,888,288,-2279
-1808,8344,15344,-723,-1015,-2550
-1544,8168,15112,-2443,-1466,-2524
-2064,8272,14792,-3741,-2076,-2664
-1152,7904,14760,-4256,-1048,-2874
-928,7880,14792,-4699,-435,-2821
-560,7584,15064,-4783,903,-2732
-920,7096,14680,-6504,1042,-2019
-880,6440,14064,-6271,1516,-2015
-1472,5920,14504,-4580,1891,-1780
-1456,5912,16032,-5716,4084,-1939
-2456,5320,14664,-9018,4308,-2427
-2360,4936,14768,-6564,3988,-2855
-3104,4312,15560,-6510,6789,-3207
-4664,3424,15208,-4853,5526,-3586
-3960,3368,16208,-3592,3639,-4753
-3904,4112,16072,-4766,5105,-4474
-4416,3272,16088,-5323,5104,-3740
-5072,2488,15840,-5414,5805,-3644
-5184,1824,15216,-4979,7226,-3947
-5192,1576,15056,-3394,6881,-4002
-5016,1912,15512,-2424,6689,-2791
-5984,1288,15264,-3242,7534,-2059
-6904,912,15056,-2622,7267,-1918
-6816,928,14888,-2552,8076,-1496
-7400,544,14592,-3006,8597,-1317
-7528,304,14016,-2047,8235,-333
-8408,288,14600,-1972,7821,593
-9144,136,14512,-2579,6906,224
-9824,-400,14096,-2522,5422,884
-10152,-496,13528,-2304,3904,505
-9552,-520,12664,-1661,3490,193
-9992,-224,12080,-729,4197,359
-10184,-232,12624,119,4613,884
-10616,-640,12928,-681,5855,695
-11248,-288,12584,-1307,5257,1102
-11152,-400,11984,-649,5116,647
-11112,-8,12152,-525,5039,749
-11384,-112,12040,-908,5317,989
-11528,-144,11576,-831,4722,1369
-12224,80,11616,-608,4110,1854
-12184,-296,11536,-839,3263,2073
-12256,-504,11160,-1347,2422,1568
-12592,-664,10960,-938,-104,962
-12120,-576,10256,-744,-1823,1387
-12120,-560,10512,361,-3215,1091
-11560,-224,10928,321,-4546,883
-11464,-56,11032,38,-5755,1012
-10976,200,11472,520,-6292,947
-10976,256,12008,316,-5963,1481
-10824,128,11952,1132,-5894,1666
-10904,584,12808,1927,-6192,1225
-10624,416,13672,1569,-6505,1436
-9872,528,13160,1490,-6909,1333
-9680,1024,13856,2043,-7103,1032
-8944,1216,14448,1125,-6688,1368
-8832,1168,14544,633,-5769,1429
-8720,1520,14432,-12,-5752,1290
-8088,1248,15048,426,-5670,1349
-7712,1160,15072,343,-5623,1508
-7312,1368,15096,53,-5244,1304
-7152,1064,15312,-587,-4263,773
-6824,1312,15112,-246,-4026,654
-6608,1256,15232,486,-4548,1011
-6224,1448,16072,609,-4769,711
-5600,1752,15984,251,-5621,1407
-5504,1624,16272,-98,-6051,1516
-4600,1528,16592,-300,-7043,1580
-4496,1984,16560,-64,-9031,2458
-3648,1552,16144,-556,-9959,3439
-3144,1256,15568,-750,-8794,2790
-2944,1440,16064,446,-8109,2304
-2136,1136,16544,612,-7638,2162
-1592,1672,16784,695,-6847,1631
-1192,2064,16976,568,-6950,2299
-392,1584,16904,216,-6685,2012
-248,1720,17192,579,-7430,1441
264,1760,17048,-44,-7824,1441
896,1624,16144,-540,-7095,1427
1584,1112,15688,191,-7547,696
1288,1208,16040,2180,-9006,-184
2976,1680,16400,1440,-7167,-1477
3208,2112,16024,211,-5669,-1075
3824,2304,15800,-456,-4153,-1134
4568,2480,16136,-234,-4460,-154
4704,2792,16032,-221,-5306,1344
4848,2232,16160,-534,-5301,1734
5064,1944,15640,-332,-6293,2169
5480,1880,15472,-359,-5466,1829
6128,2008,15784,-270,-5658,1576
6416,1680,15440,-471,-5428,2194
6632,1648,15528,-369,-5623,2291
6872,1824,15256,-1258,-4576,2274
7040,1360,15224,-1563,-4571,2548
7488,1392,14808,-1286,-5012,2472
7960,1064,14576,-252,-6086,3004
8072,1280,14752,-235,-5422,2969
8088,696,14488,-1415,-4325,2410
8296,736,13816,-578,-4757,2543
8504,848,14136,-252,-5083,2680
9048,656,14072,-529,-4648,2287
8896,336,13592,-830,-4356,2804
9264,360,13768,-368,-4578,2046
9824,392,13496,-100,-5502,1587
9984,160,13016,-545,-4752,1450
10096,-208,12728,-325,-3664,880
10208,-56,12808,-948,-2995,615
10352,-512,12184,-1076,-2696,-96
10536,-288,12008,-451,-2714,-336
10688,-208,12112,334,-2608,-773
11192,-208,11904,-287,-695,-1831
10992,48,11800,-857,-538,-2188
11224,-32,11832,-330,445,-2192
11280,288,11968,-997,2236,-2272
11696,512,12216,-1048,1716,-1611
11616,632,12104,-969,1970,-1039
11112,232,12024,-754,1437,-351
10880,-8,12320,-562,2713,-675
10624,160,12624,-1369,3664,-1172
10392,88,12616,-1522,4462,-1650
10232,448,12968,-1263,5320,-1902
10144,264,13304,-1130,5924,-1838
9560,616,13512,-849,4649,-1225
9560,224,13784,-639,4668,-1645
9400,304,14072,-913,4970,-1320
9152,96,14648,-831,4409,-1315
8560,616,14328,-1164,3412,-1517
8984,552,13824,-1414,3762,-807
8328,264,13704,-862,5784,-1185
7920,120,14632,-276,4333,-403
7776,336,14312,-715,4837,-1001
7376,8,14696,-1388,7120,-1337
6952,472,14904,-1086,6706,-924
7016,304,15336,-242,6437,-962
6712,168,15648,-555,7309,-892
5552,568,15992,-568,5775,-573
5624,240,15888,-730,5491,-965
5064,-40,16032,-809,5407,-1060
4288,576,16312,-234,4052,-995
4488,-144,16136,-460,5549,-1033
4024,248,16240,-279,6618,-1713
3376,456,16664,-169,5301,-1257
3496,144,16592,-513,5332,-1354
2896,376,16464,-643,5183,-1560
2552,464,16632,-534,4184,-1319
2608,72,15792,-602,5160,-1051
2432,-176,15832,-332,7961,-1952
1808,-208,16952,479,8132,-1773
1360,304,17112,-125,6862,-1462
984,240,17408,-420,4905,-917
688,176,16976,-736,4053,-518
168,8,16384,-488,4202,-309
120,-96,16552,127,5345,-589
-520,48,16496,246,5794,-1059
-1080,-144,16952,74,5967,-1185
-1232,-80,16984,-106,5885,-1668
-1600,176,17040,-345,5546,-1412
-2048,96,16808,-567,4444,-1024
-2200,144,16280,-117,4282,-611
